City_ID,city,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Fortuna,US,2020-10-09 05:58:10,40.6,-124.16,57.99,100,90,1.43
231,Red Deer,CA,2020-10-09 05:54:41,52.27,-113.8,39.2,86,90,5.82
232,Jardim,BR,2020-10-09 05:58:11,-21.48,-56.14,81.14,39,34,2.57
233,Vardo,NO,2020-10-09 05:58:11,70.37,31.11,50.0,87,75,8.05
234,Sawakin,SD,2020-10-09 05:58:11,19.11,37.33,88.48,56,0,1.21
235,Frutal,BR,2020-10-09 05:58:11,-20.02,-48.94,81.25,44,20,4.0
236,Pascagoula,US,2020-10-09 05:56:57,30.37,-88.56,78.8,88,90,4.7
237,Jequitinhonha,BR,2020-10-09 05:58:11,-16.43,-41.0,72.59,86,100,3.4
238,Aswan,EG,2020-10-09 05:58:11,24.09,32.91,94.91,16,0,6.15
239,Vila,PT,2020-10-09 05:58:11,42.03,-8.16,51.01,94,33,1.86
240,Vestmannaeyjar,IS,2020-10-09 05:57:53,63.44,-20.27,45.64,76,69,24.34
241,Dunedin,NZ,2020-10-09 05:58:12,-45.87,170.5,50.0,72,0,25.99
242,Svetlaya,RU,2020-10-09 05:58:12,46.54,138.33,58.62,53,0,10.56
243,Cuamba,MZ,2020-10-09 05:58:12,-14.8,36.54,78.78,52,11,5.66
244,Sibolga,ID,2020-10-09 05:57:39,1.74,98.78,78.01,83,100,1.54
245,Norman Wells,CA,2020-10-09 05:57:21,65.28,-126.83,35.6,93,90,3.36
246,Phuket,TH,2020-10-09 05:56:51,8.0,98.25,81.0,88,75,12.75
247,Tasiilaq,GL,2020-10-09 05:57:52,65.61,-37.64,33.8,80,0,1.12
248,Booue,GA,2020-10-09 05:58:12,-0.09,11.94,72.57,95,99,1.57
249,Garissa,KE,2020-10-09 05:58:13,-0.45,39.64,82.15,63,97,13.67
250,Sambava,MG,2020-10-09 05:58:13,-14.27,50.17,80.31,67,3,5.77
251,Linxia,CN,2020-10-09 05:58:13,35.6,103.21,55.94,62,99,2.91
252,Ipilan,PH,2020-10-09 05:58:13,8.84,117.9,84.16,71,100,3.11
253,Kalbugan,PH,2020-10-09 05:58:13,6.96,124.66,91.44,55,100,2.95
254,Vao,NC,2020-10-09 05:57:58,-22.67,167.48,72.86,82,89,11.92
255,Hukuntsi,BW,2020-10-09 05:58:13,-24.0,21.75,68.18,67,0,10.65
256,Guayaramerin,BO,2020-10-09 05:58:13,-10.84,-65.36,76.78,55,0,1.59
257,Salamiyah,SY,2020-10-09 05:58:14,35.01,37.05,82.08,14,0,20.09
258,Hambantota,LK,2020-10-09 05:58:14,6.12,81.12,89.6,62,40,16.11
259,Islampur,IN,2020-10-09 05:58:14,26.27,88.2,88.63,61,22,3.85
260,Phan Thiet,VN,2020-10-09 05:58:14,10.93,108.1,80.28,80,100,3.38
261,Solnechnyy,RU,2020-10-09 05:58:14,50.72,136.63,50.41,61,0,6.11
262,Dalvik,IS,2020-10-09 05:58:14,65.97,-18.53,41.0,86,90,12.75
263,Kaputa,ZM,2020-10-09 05:58:14,-8.47,29.66,77.58,61,92,1.16
264,Vanino,RU,2020-10-09 05:58:14,49.09,140.25,56.59,43,0,2.46
265,Kalmar,SE,2020-10-09 05:58:14,56.66,16.36,55.0,87,40,12.75
266,Varnavino,RU,2020-10-09 05:58:15,57.4,45.09,50.88,47,89,11.45
267,Saint George,US,2020-10-09 05:58:02,37.1,-113.58,73.0,24,1,6.93
268,Albanel,CA,2020-10-09 05:58:15,48.88,-72.45,33.8,74,20,11.41
269,Karasjok,NO,2020-10-09 05:58:15,69.47,25.51,50.0,87,75,17.22
270,Kupang,ID,2020-10-09 05:58:15,-10.17,123.58,89.6,59,40,14.99
271,Iqaluit,CA,2020-10-09 05:58:03,63.75,-68.51,26.6,73,75,12.75
272,Alofi,NU,2020-10-09 05:58:07,-19.06,-169.92,78.8,88,100,2.24
273,Benton Harbor,US,2020-10-09 05:58:15,42.12,-86.45,42.8,87,1,10.89
274,Basoko,CD,2020-10-09 05:58:15,1.24,23.62,71.8,89,100,1.86
275,Saint-Philippe,RE,2020-10-09 05:57:57,-21.36,55.77,80.6,65,24,10.29
276,Horodok,UA,2020-10-09 05:58:15,49.16,26.58,57.99,93,100,8.99
277,Rizhao,CN,2020-10-09 05:58:16,35.43,119.46,70.48,53,9,7.67
278,Chumikan,RU,2020-10-09 05:58:16,54.72,135.31,51.67,52,16,16.55
279,Acarau,BR,2020-10-09 05:57:47,-2.89,-40.12,76.82,83,100,12.35
280,West Bay,KY,2020-10-09 05:58:16,19.37,-81.42,79.0,90,36,1.01
281,Seddon,AU,2020-10-09 05:55:55,-37.81,144.89,61.0,55,90,21.92
282,Sao Jose Do Campestre,BR,2020-10-09 05:58:16,-6.32,-35.71,69.22,95,22,4.14
283,Aksarka,RU,2020-10-09 05:58:16,66.56,67.8,34.38,83,52,1.9
284,Vitim,RU,2020-10-09 05:58:16,59.45,112.56,39.16,69,100,2.89
285,Camacha,PT,2020-10-09 05:58:08,33.08,-16.33,69.8,77,40,4.7
286,Selfoss,IS,2020-10-09 05:58:17,63.93,-21.0,43.0,89,82,25.01
287,Mareeba,AU,2020-10-09 05:58:03,-17.0,145.43,87.01,24,36,5.01
288,Touros,BR,2020-10-09 05:58:17,-5.2,-35.46,71.6,100,20,4.7
289,Amga,RU,2020-10-09 05:58:17,60.9,131.96,42.03,60,58,1.54
290,Tucupita,VE,2020-10-09 05:58:17,9.06,-62.05,73.22,95,32,2.21
291,Ulaangom,MN,2020-10-09 05:58:17,49.98,92.07,36.68,55,35,17.49
292,Bengkulu,ID,2020-10-09 05:57:44,-3.8,102.27,80.42,69,100,5.79
293,Kalevala,RU,2020-10-09 05:58:17,65.2,31.17,49.48,90,75,6.76
294,Clifton,US,2020-10-09 05:55:28,40.86,-74.16,53.6,66,1,5.82
295,Port Hedland,AU,2020-10-09 05:58:18,-20.32,118.57,89.6,27,20,11.41
296,Peleduy,RU,2020-10-09 05:57:54,59.63,112.74,38.88,70,100,2.93
297,Maceio,BR,2020-10-09 05:58:18,-9.67,-35.74,69.8,100,56,4.7
298,Vaitape,PF,2020-10-09 05:58:18,-16.52,-151.75,79.77,76,8,19.55
299,Zhuhai,CN,2020-10-09 05:58:18,22.28,113.57,84.99,61,9,16.11
300,Biskamzha,RU,2020-10-09 05:58:18,53.45,89.53,28.24,90,75,12.39
301,Nizwa,OM,2020-10-09 05:58:18,22.93,57.53,91.83,13,0,4.85
302,Smithers,CA,2020-10-09 05:58:18,54.78,-127.17,39.2,93,90,2.24
303,Klamath Falls,US,2020-10-09 05:58:17,42.22,-121.78,46.0,56,1,2.3
304,Tiksi,RU,2020-10-09 05:57:59,71.69,128.87,22.41,93,100,16.37
305,Horadiz,AZ,2020-10-09 05:58:19,39.45,47.34,57.2,93,0,6.93
